dish,ingredient,qty,unit
Sake Futomaki,Oriz sushi,180,g
Sake Futomaki,Nori,3,g
Sake Futomaki,Salmon,60,g
Sake Futomaki,Krem djathi,30,g
Sake Futomaki,Kastravec,20,g
Sake Futomaki,Tobiko,10,g
Sake Futomaki,Kuti,1,unit
Philadelphia Classic,Oriz sushi,160,g
Philadelphia Classic,Nori,3,g
Philadelphia Classic,Krem djathi,40,g
Philadelphia Classic,Kastravec,20,g
Philadelphia Classic,Salmon,80,g
Philadelphia Classic,Kuti,1,unit
California Classic,Oriz sushi,160,g
California Classic,Nori,3,g
California Classic,Miks gaforre,50,g
California Classic,Avokado,25,g
California Classic,Kastravec,20,g
California Classic,Tobiko,15,g
California Classic,Majoneze Kewpie,10,g
California Classic,Kuti,1,unit
Maki Salmon,Oriz sushi,90,g
Maki Salmon,Nori,2,g
Maki Salmon,Salmon,35,g
Maki Salmon,Kuti,1,unit
Maki Cucumber,Oriz sushi,90,g
Maki Cucumber,Nori,2,g
Maki Cucumber,Kastravec,30,g
Maki Cucumber,Kuti,1,unit
