emri;lloji;njësia;kalori;proteina;yndyra;karbohidrate;kosto;për;furnitori;minimumi
Oriz sushi;food;kg;130;2,7;0,3;28;380;1 kg;;5 kg
Nori;food;g;35;5,8;0,3;5,1;4.500,00;1 kg;;200 g
Salmon;food;kg;208;20;13;0;2.400,00;1 kg;Tregu i peshkut;3 kg
Krem djathi;food;kg;342;6;34;4;1300;1 kg;;2 kg
Kastravec;food;kg;15;0,7;0,1;3,6;150;1 kg;;2 kg
Tobiko;food;g;143;22;6,4;1,5;6.000,00;1 kg;;100 g
Miks gaforre;food;kg;180;9;11;12;1100;1 kg;;1 kg
Avokado;food;kg;160;2;15;9;900;1 kg;;1 kg
Majoneze Kewpie;sauce;g;670;1,5;72;1,6;1600;1 kg;;500 g
Kuti;box;unit;;;;;35;;;50
